,Function,Accuracy score,MSE
0,y(x1),0.5727938806656779,0.854387429340489
1,y(x2),0.24889262532843104,1.502171129955459
2,y(x3),-0.1819686865284844,2.3638687320715377
3,y(x4),-0.12521023286843125,2.2503551209099806
4,"y(x1, x2)",0.9985168700951856,0.0029661736791759367
5,"y(x1, x3)",0.5445170083996399,0.9109395317373719
6,"y(x1, x4)",0.5701498820229132,0.8596752730799266
7,"y(x2, x3)",0.24528535739097612,1.5093854563439173
8,"y(x2, x4)",0.2498452887180045,1.5002658585007504
9,"y(x3, x4)",-0.18181284871648828,2.363557065497583
10,"y(x1, x2, x3)",0.9991539950419451,0.0016919607856931004
11,"y(x2, x3, x4)",0.24451601570589743,1.5109240950357579
12,"y(x1, x3, x4)",0.5438629685663551,0.9122475734215997
13,"y(x1, x2, x3, x4)",0.9994627718756113,0.0010744250500932208
