,Function,Accuracy score,MSE
0,x(y),-0.030668326236679366,0.06926406818282412
1,x(z),0.32863364453664756,0.04511787530161212
2,"x(y, z)",0.9105310679454597,0.006012586253326931
3,y(x),-0.055185152872371024,0.09105236117441644
4,y(z),0.5849517998178844,0.035814680034968696
5,"y(x, z)",0.9404171833272443,0.005141425776043864
6,z(x),0.3244315168489753,2.2012823706222093
7,z(y),0.5733781511713161,1.3901109630937207
8,"z(x, y)",0.961968261103283,0.12392318239442579
